record_id,observation_level,period_start,period_end,payment_year,payer,recipient,river,amount_10k_cny,amount_type,direction_status,source_id,evidence_grade,usable_as_bilateral_p_ijt,notes
chishui_pool_round1,three_province_pool,2018,2020,,云南|贵州|四川,赤水河补偿资金池,赤水河,20000,agreement_annual_pool,multilateral_pool,yunnan_2024_chishui_summary,A,no,每年共同出资2亿元；不是一笔双边支付
chishui_yunnan_receipt_round1,payer_group_to_province,2018,2020,,贵州|四川,云南,赤水河,12000,actual_aggregate_receipt,payer_split_unobserved,yunnan_2024_chishui_summary,A,no,三年累计实际收款；贵州和四川各自金额未公开
chishui_pool_round2,three_province_pool,2021,2025,,云南|贵州|四川,赤水河补偿资金池,赤水河,30000,agreement_annual_pool,multilateral_pool,yunnan_2024_chishui_summary,A,no,第二轮协议每年3亿元；协议2023年签订但补偿期限追溯为2021至2025年
chishui_guizhou_to_yunnan_2023,province_to_province,2023,2023,2023,贵州,云南,赤水河,2550,actual_payment,direction_verified,guizhou_2023_chishui_payment,A,yes,贵州省财政厅明确通知拨付至云南省财政厅
chishui_guizhou_to_yunnan_2024,province_to_province,2024,2024,2024,贵州,云南,赤水河,3000,actual_payment,direction_verified,guizhou_2024_chishui_decision,A,yes,贵州省生态环境厅部门决算绩效表显示已拨付
chishui_sichuan_to_yunnan_2021,province_to_province,2021,2021,2022,四川,云南,赤水河,3000,actual_payment,direction_verified,sichuan_2022_accounts_chishui_2021,A,yes,四川省生态环境厅2022年度部门决算披露支付2021年度补偿资金
chishui_guizhou_to_yunnan_2018,province_to_province,2018,2018,2019,贵州,云南,赤水河,2000,actual_payment,direction_verified,mof_yunnan_chishui_2018_settlement,A,yes,财政部转载云南财政信息明确贵州向云南支付2000万元
chishui_sichuan_to_yunnan_2018,province_to_province,2018,2018,2019,四川,云南,赤水河,2000,actual_payment,direction_verified,mof_yunnan_chishui_2018_settlement,A,yes,财政部转载云南财政信息明确四川向云南支付2000万元
chishui_guizhou_sichuan_to_yunnan_2019,payer_group_to_province,2019,2019,2020,贵州|四川,云南,赤水河,4000,actual_aggregate_receipt,payer_split_unobserved,ndrc_yunnan_chishui_2018_2020,A,no,发改委披露2018至2019两年川黔共支付8000万元；扣除已核验2018年4000万元后得到2019年合计4000万元
youshui_hunan_to_chongqing_2019,province_to_province,2019,2019,,湖南,重庆,酉水,480,actual_payment,direction_verified,hunan_2022_crossprovince_payments,A,yes,湖南省财政厅明确支付重庆2019年度补偿资金480万元
youshui_hunan_to_chongqing_2020,province_to_province,2020,2020,,湖南,重庆,酉水,480,actual_payment,direction_verified,hunan_2022_crossprovince_payments,A,yes,湖南省财政厅明确支付重庆2020年度补偿资金480万元
lushui_hunan_to_jiangxi_2019h2,province_to_province,2019,2019,,湖南,江西,渌水,600,actual_payment,direction_verified,hunan_2022_crossprovince_payments,A,yes,湖南省财政厅明确支付江西2019年下半年补偿资金600万元
lushui_hunan_to_jiangxi_2020,province_to_province,2020,2020,,湖南,江西,渌水,1200,actual_payment,direction_verified,hunan_2022_crossprovince_payments,A,yes,湖南省财政厅明确支付江西2020年度补偿资金1200万元
youshui_hunan_to_chongqing_2022,province_to_province,2022,2022,2023,湖南,重庆,酉水,480,actual_payment,direction_verified,chongqing_youshui_2022_payment,A,yes,重庆市财政局明确湖南已拨付2022年度补偿资金480万元
